Carimbo de data/hora,Bota
19/12/2024 19:47:49,"Autor: Natanael
1 - The Third Man (1949)
2 - Fort Aparche (1948)
3 - Pai e filha (1949)
4 - Objective Burma (1945)
5 - Como era verde meu vale (1941)
6 - O Anjo embriagado (1948)
7 - The 47 Ronin (1941)
8 - Cidadão Kane (1949)
9 - O estranho (1946)
10 - O silêncio do Mar (1949)
11 - também somos irmãos (1949)
12 - 3 Godfathers (1948)
13 - The great dictador (1940)
14 - Red River (1948)
15 - My Japan (1943)"
19/12/2024 21:25:30,"Ricardo Emerich
1- They Live By Night - Ray
2- Fallen Angel - Preminger
3- Laura - Preminger
4-Alemanha Ano Zero - Rossellini
5- Interlúdio - Hitchcock 
6- Study in choreography for câmera - Deren 
7- Vinhas da Ira - Ford
8- Magnificent Ambersons - Welles
9- Rope - Hitchcock 
10- Cat People - Torneur 
11- Roma cidade Aberta - Rossellini
12- Tramas do Entardecer - Deren
13_  The Boy with Green Hair - Losey
14_ Brief Encounter - David Lean
15- Paisa - Rossellini"
19/12/2024 23:05:24,"Vereza

1- My Darling Clementine (1946)
2- The Lady from Shanghai (1947)
3- The Big Sleep (1946)
4- Rope (1948)
5- How Green Was My Valley (1941)
6- Laura (1944)
7- Germany, Year Zero (1948)
8- Arsenic and Old Lace (1944)
9- The Southerner (1945)
10- Scarlet Street (1945)
11- Forte Apache (1948)
12- Magnificent Ambersons (1942)
13- 3 Godfathers (1948)
14- To Have or Not Have (1944)
15- Beauty and the Beast (1946)
16- It's a Wonderful Life (1946)
17- Cat People (1942)
18- Citizen Kane (1941)
19- His Girl Friday (1940)
20- Bicycle Thieves (1948)"
20/12/2024 12:59:29,"Ricardo (volta Emerich 😭)

 1 - Fort Apache (1948)
2 - My Darling Clementine (1946)
3 - Out of the Past (1947)
4 - Notorious (1946)
5 -  Under Capricorn (1949)
6 - Red River (1948)
7 - Canyon Passage (1946)
8 - They Live by Night (1948)
9 - Reap the Wild Wind (1942)
10 - Rope (1948)
11 - The Third Man (1949)
12 - Late Spring (1949)
13 - Rome, Open City (1945)
14 - Citizen Kane (1941)
15 - Blood of the Beasts (1949)"
20/12/2024 13:41:42,"El pichula 02000

1- Rome, open city (1944)
2- The red shoes (1948)
3- My Darling Clementine (1946)
4- Stray dog (1949)
5- Fireworks (1947) 
6- they live by night (1948)
7- Laura (1944) 
8- Citizen Kane (1942) 
9- The grapes of wrath (1940)
10- The maltese Falcon (1941) 
11- The ox- bow incident (1943) 
12- To be or not to be (1942)
13- La terra trema (1948)
14- Red River (1948) 
15- Rope (1948)

"
20/12/2024 16:12:55,"Quia

1 - Day of Wrath (1943)
2 - I Walked With a Zombie (1943)
3 - How Green Was My Valley (1941)
4 - Out of the Past (1947) 
5 - Brief Encouder (1945)
6 - Rope (1948)
7 -  Cat People (1942) 
8 -  Detour (1945) 
9 - Laura (1944)  
10 - Cidadão Kane (1941)  
11 - Meshes of the Afternoon (1943)
12 - His Girl Friday (1940) 
13 - Enamorada (1946)  
14 - Bibycle Thieves (1948)  
15 - Também somos irmãos (1949) 
16 - The Treasure of the sierra madre (1948)
17 - Children of paradise (1945)
18 - woman of the night (1948)  
19 -  The Lady From Shanghai (1947) 
20 -  Fallen Angel (1945)  

"
20/12/2024 18:19:28,"Beatrix 

1 - I Walked with a Zombie (1943)
2 - Day of Wrath (1943)
3 - Who Killed Who? (1943)
4 - The Leopard Man (1943)
5 - Meshes of the Afternoon (1943)
6 - Begone Dull Care (1949)
7 - Fireworks (1947)
8 - Cat People (1943)
9 - Roma citta aperta (1945)
10 - Screwball Squirrel (1944)
11 - Red Hot Riding Hood (1943)
12 - Fast and Furry-ous (1949)
13 - Citizen Kane (1941)
14 - Ritual in Transfigured Time (1946)
15 - Dots (1940)"
20/12/2024 18:21:09,"Matheus Fiore

1. Roma, Cidade Aberta (1945)
2. O Céu Mandou Alguém (1948) 
3. Dias de Ira (1943)
4. Tramas do Entardecer (1943) 
5. Mulheres da Noite (1948)
6. Desencanto (1945)
7. A História de Uma Mulher (1949) 
8. Sangue de Pantera (1942)
9. Como Era Verde Meu Vale (1941)
10. Cidadão Kane (1941)
11. Rebecca (1940)
12. Corpo e Alma (1947)
13. Amarga Esperança (1948)
14. Dentro da Noite (1940)
15. Uma Galinha ao Vento (1948)"
20/12/2024 18:22:47,"CINE TRUE 

1 - To Be or Not to Be - 1942
2 - La Terra Trema - 1948
3 - The Shop Around the Corner - 1940
4 - Rebecca - 1940
5 - Bicycle Thieves - 1948
6 - The Ox-Bow Incident - 1943
7 - Brief Encounter - 1945
8 - Casablanca - 1942
9 - Beauty and the Beast - 1946
10 - His Girl Friday - 1940
11 - Cat People - 1942
12 - My Darling Clementine - 1946
13 - Late Spring - 1949
14 - Laura - 1944
15 - It’s a Wonderful Life - 1946"
20/12/2024 18:30:47,"Henrique 

1. As Vinhas da Ira (1940)
2. Interlúdio (1946)
3. Dias de Ira (1943)
4. Red River (1948)
5. Cidadão Kane (1941)
6. Festim Diabólico (1948)
7. Ladrões de Bicicleta (1948)
8. Amarga Esperança (1948)
9. Desencanto (1945)
10. Como Era Verde Meu Vale (1941)
11. Tesouro de Sierra Madre (1948)
12. The Lady From Shanghai 
13. Ivan o Terrível 2 (1946)
14. Rebecca (1940)
15. The Magnificent Ambersons (1942)
16. Double Indemnity (1944)
17. Shoeshine (1946)
18. Stray Dog (1949)
19. His Girl Friday (1940)
20. O Grande Ditador (1942)"
20/12/2024 18:56:55,"Lucas Nascimento

1. Alemanha, Ano Zero (1948)
2. Os 47 Ronin (1941)
3. Sob o Signo de Capricórnio (1949)
4. Como Era Verde O Meu Vale (1941)
5. O Barba Azul (1947)
6. Um Punhado de Bravos (1945)
7. Sansão e Dalila (1949) 
8. Le sang des bêtes (1949)
9. Amarga Esperança (1948)
10. Sua Única Saída (1947)
11. À Beira do Abismo (1947)
12. Águas Tempestuosas (1941)
13. Primavera Tardia (1949)
14. Tramas do Entardecer (1943)
15. Le Tempestaire (1947)"
20/12/2024 19:09:45,"Heitor

1. My Darling Clementine (1946)
2. The Ghost and Mrs. Muir (1947)
3. Pursued (1947)
4. Paisà (1946)
5. Mulheres da Noite (1948)
6. Gentleman Jim (1942)
7. Red River (1948)
8. Pai e Filha (1949)
9. Fallen Angel (1945)
10. Citizen Kane (1941)
11. Roma, Cidade Aberta (1945)
12. To Have our Have Not (1945)
13. Notorious (1946)
14. His Girl Frydan (1940)
15. The Lady From Shangai (1947)
16. The Man I Love (1946)
17. Cat People (1942)
18. Rebecca (1940)
19. The Big Sleep (1946)
20. Child of Divorce (1946)"
20/12/2024 21:52:50,"Daniel

1. My Darling Clementine (1946)
2. Pacto de Sangue (1944)
3. Alemanha, Ano Zero (1948)
4. I Walked with a Zombie (1943)
5. The Ox-Bow Incident (1943)
6. Como Era Verde Meu Vale (1941)
7.  Laura (1944)
8. Interlúdio (1946)
9. The Lady from Shangai (1947)
10. To Have and Have Not (1944)
11. Tramas do Entardecer (1943)
12. The Boy with Green Hair (1948)
13. Late Spring (1949)
14. Rope (1948)
15. Spring in a Small Town (1948)"
21/12/2024 20:12:51,"ENRIQUE

1 Bambi (1942)
2 How Green Was My Valley (1941)
3 Colorado Territory (1949)
4 3 Godfathers (1948)
5 It’s a Wonderful Life (1946)
6 Motion Painting No. 1 (1947)
7 Begone Dull Care (1949)
8 Citizen Kane (1941)
9 Rope (1948)
10 My Darling Clementine (1946) 
11 Brief Encounter (1945)
12 Meshes of the Afternoon (1943)
13 Fantasia (1940)
14 Pinocchio (1940)
15 Radio Dynamics (1942)

"
22/12/2024 00:13:55,"Marcelo 

1. Red River (1948)
2. The Grapes of Wrath (1940)
3. Out of the Past (1947)
4. Germany Year Zero (1948)
5. Fort Apache (1948)
6. The Leopard Man (1943)
7. Pursued (1947)
8. Monsieur Verdoux (1947)
9. Detour (1945)
10. The Song of Bernardette (1943)
11. Haru no Mezame (1947)
12. Child of Divorce (1946)
13. Two People (1945)
14. Samson e Delilah (1949)
15. The Shanghai Gesture (1941)
16. My Darling Clementine (1946)
17. White Heat (1949)
18. The Fountainhead (1949)
19. Notorious (1946)
20. Cat people (1942)"
22/12/2024 23:24:58,"- Carlos Henrique Pereira

1 - As Vinhas da Ira (1940)
2 - Sangue de Pantera (1942)
3 - Roma, Cidade Aberta (1945)
4 - Paixão dos Fortes (1946)
5 - Sangue de Heróis (1948)
6 - Interlúdio (1946)
7 - Tramas do Entardecer (1943)
8 - Fuga do Passado (1947)
9 - O Homem Leopardo (1943)
10 - Um Dia no Campo (1946)
11 - Ser ou Não Ser (1942)
12 - Sob o Signo de Capricórnio (1949)
13 - Pai e Filha (1949)
14 - Dias de Ira (1943)
15 - Jejum de Amor (1940)
16 - Desencanto (1945)
17 - Festim Diabólico (1948)
18 - Ladrões de Bicicleta (1948)
19 - Casablanca (1942)
20 - Cidadão Kane (1941)"
23/12/2024 19:17:20,"Nathyy:
1. The Red Shoes (1948)
2. Late Spring (1949)
3. Bicycle Thieves (1948)
4. Rebecca (1940)
5. Arsenic and Old Lace (1944)
6. Rope (1948)
7. The Shop Around the Corner (1940)
8. My Darling Clementine (1946)
9. His Girl Friday (1940)
10. Meshes of the Afternoon (1943)
11. The Lost Weekend (1945)
12. Beauty and the Beast (1946)
13. Cat People (1942)
14. Brief Encounter (1945)
15. Laura (1944)
16. Citizen Kane (1941)
17. The Picture of Dorian Grey (1945)
18. A Matter of life and Death (1946)
"
24/12/2024 01:42:48,"MIGUEL

1The Big Sleep
2Pai e Filha
3To Be or Not To Be
4My Darling Clementine
5His Girl Friday
6Desencanto
7Como Era Verde Meu Vale
8Interlúdio 
9Cidadão Kane
10High Sierra
11Fort Apache
12Roma Cidade Aberta
13Ladrões de Bicicleta
14Festim Diabólico
15Germany Year Zero 
16A Bela e a Fera 
17Out Of The Past
18Meshes Of The Afternoon
19Cat People
20White Heat"
24/12/2024 02:44:12,"Gabiru

1-Fort Apache
2-How Green Was my Valley
3-Day of Wrath
4-Rebecca
5-Black Narcissus
6-The Treasure of the Sierra Madre
7-Letter from an unknown woman
8-Late Spring
9-The song of bernadette
10-Casablanca
11- To be or not to be
12- A day in the country
13-The lady from Shangai 
14-La Terra Trema
15-Three Godfathers
16-They live by night 
17-Meshes of the afternoon
18-Out of the past
19-Aniki bobó
20-Red River"
