Carimbo de data/hora,Bota
12/12/2024 12:56:25,"1- Um Homem com Uma Câmera (1929)
2- Nosferatu (1922)
3-Rain (1929)
4- Sherlock Jr (1924)
5- Um Cão Andaluz (1929)
6- As aventuras do Príncipe Archemed (1926)
7- A Carruagem Fantasma (1921)
8- O Gabinete do Dr. Caligari (1920)
9- Encouraçado Potemkine (1925)
10- The Cameraman (1928)
11- Kino Eye (1924)
12- Greed (1924)
13- Faust (1926)
14- Em Busca do Ouro (1925)
15- O Martírio de Joana D'Arc (1928)

Felipe Considera "
12/12/2024 13:06:46,"1 - As Duas Tormentas (1920)
2 - Nosferatu (1922)
3 - Aurora (1927)
4 - Napoleão (1927)
5 - Ouro e Maldição (1924)
6 - A Paixão de Joana D’Arc (1928)
7 - O Encouraçado Potemkin (1925)
7 - A Carruagem Fantasma (1921)
8 - Sherlock Jr. (1924)
9 - "
12/12/2024 13:25:30,"1 - As Duas Tormentas (1920)
2 - Nosferatu (1922)
3 - Outubro (1928)
4 - Napoleão (1927)
5 - Aurora (1927)
6 - A Paixão de Joana D’Arc (1928)
7 - The Gold Rush (1925)
8 - Ouro e Maldição (1924)
9 - Ménilmontant (1926)
10 - A Turba (1928)
11 - O Monstro do Circo (1927)
12 - A Carruagem Fantasma (1921)
13 - Lady Windermere’s Fan (1925)
14 - Sherlock Jr. (1924) 
15 - A Concha e o Clérigo (1928)"
12/12/2024 13:34:36,"1 - La Passion De Jeanne D'arc (1928)
2 - Battleship Potemkin (1925)
3 - Sunrise (1927)
4 - Way Down East (1920)
5 - The Phantom Carriage (1921)
6 - Lucky Star (1929)
7 - O Gabinete do Dr. Caligari (1920)
8 - Metropolis (1927)
9 - Souls For Sale (1923)
10 - The Little Machine Girl (1928) 
11 - The General (1926)
12 - The Last Laugh (1924)
13 - Man With a Movie Camera (1929)
14 - Die Nibelungen: Siegfried (1924)
15 - Rien que les Heures (1926)

- Quia"
12/12/2024 14:51:43,"1. Aurora (1927)
2. Fausto (1926)
3. A Paixão de Joana D'arc (1928)
4. Em Busca do Ouro (1925)
5. Outubro (1928)
6. The Cameraman (1928)
7. The crowd (1928)
8. The Circus (1928)
9. The Kid (1921)
10. A Greve (1925)
11. Um Homem com Uma câmera (1929)
12. One Week (1920)"
12/12/2024 19:20:40,"1 - One Week (1920)
2 - Faust (1926)
3 - A Sixth Part of the world (1926)
4 - Napoleon (1927)
5 - Sunrise (1927)
6 - O Espantalho (1920)
7 - The Kid (1921)
8 - Tartufo (1926)
9 - Strike (1925)
10 - Street Angel (1928)
"
12/12/2024 19:36:59,"1 - O Gabinete do Dr. Caligari (1920)
2 - a caixa de pandora
3- homem com uma camera
4 - um cao andaluz
5- a paixao de joana d arc
6- sherlock jr
7- potemkin
8- a greve
9- nosferatu
10- metropolis"
12/12/2024 19:41:25,"1- The passion of Joan of arc 
2- Sherlock Jr 
3- Sunrise 
4- Man with a movie camera 
5- Die nibelungen: Siegfried
6- The man who laughs 
7- O Gabinete do Dr. Caligari
8- The general 
9- Safety last!
10- the kid 
"
12/12/2024 22:15:30,"Marcelo (LISTA CORRETA)

1 - Lucky Star (1929)

2 - Napoléon (1927(

3 - Um Homem com uma Câmera (1929)

4 - Faust - Eine Deutsche Volkssage (1926)

5 - Sunrise (1927)

6 - A Greve (1925)

7 -  Sherlock Jr. (1924)

8 - Dr. Mabuse (1922)

9 - Phantom Carriage (1921)

10 - The Crowd

11 - The River

12 -The Golem

13 -  The Navigator

14 - Street Angel

15 - Un Chien Andalou

"
13/12/2024 09:20:59,"1- Sunrise (1927)
2- The Circus (1927)
3- Way Down West (1920)
4- A Paixão de Joana D'arc (1928)
5- Fausto (1926) 
6- Nosferatu (1922) 
7- Sherlock Jr (1924) 
8- Un Chien Andalou (1929) 
9- Homem com uma Câmera (1929)
10- The Kid (1921)
11- The General 
12- The Crowd (1928)
13- One Week (1920)
14- Encouraçado Potemkin (1925) 
15- Return to Reason (1923)"
13/12/2024 11:19:14,"1- Outubro (1928)
2- um homem com uma câmera
3- Sherlock Jr.
4- La Passion de jeanne d'arc
5- Ménilmontant
6- La roue
7- Anémic Cinéma
8- Faust
9-Sunrise
10- Entr'acte"
13/12/2024 12:51:55,"1 - Os Nibelungos - A morte de Siegfried (As duas partes) (1924)
2 - Aurora (1927)
3 -  A Paixão de Joana D'Arc (1928)
4 - Encouraçado Potemkin (1925)
5 - The Kid - (1921)
6 - A Carruagem Fantasmas (1921)
7 - Way Down East (1920)
8 - O Gabinete do Dr. Caligari (1920)
9 - Sherlock Jr. (1924)
10 - O Inquilino (1927)

Coloquei 1 filme por diretor.

- Carlos Henrique Pereira"
13/12/2024 14:52:13,"1- Napoleão (1927)
2- Ben-Hur (1925)
3- Way Down East (1920)
4- Caligari (1920)
5- A Greve (1925)
6- The Great White Silence (1924)
7- A Roda (1923)
8- A Paixão de Joana d'Arc (1928)
9- Moana (1926)
10- A Caixa de Pandora (1929)
11- A Page of Madness (1926)
12- Os Nibelungos (1924)
13- Nanook (1922)
14- Nosferatu (1922)
15- Homem com Uma Câmera (1929)
Gui Durand"
13/12/2024 18:38:18,"1-Way Down East
2-The Crowd
3-Um homem com uma câmera
4-Sunrise
5-A paixão de Joana D'arc
6-Sherlock Jr. 
7-Outubro (1928)
8-A última gargalhada
9-Menilmontant
10-Nanook do norte
11-Metropolis
12-Nosferatu
13-Manhandled
14-um cão andaluz
15-cops! 

Gabiru"
13/12/2024 18:55:53,"1-Way Down East (1920)
2-The Crowd (1928)
3-Man with a Movie Câmera (1929)
4-Sunrise (1927)
5-Tha Passion of Joan of Arc (1928)
6-Sherlock Jr (1924)
7-October (1927)
8-The Last Laugh (1924)
9-Menilmontant (1926)
10-Nanook of the North (1922)
11-Metropolis (1927)
12-Nosferatu (1922)
13- Manhandled (1924)
14- Un chien andalou (1929)
15- Dr. Caligari (1920)"
